data de compra,nome no cartão,final do cartão,categoria,descrição,parcela,valor (em us$),cotação (em r$),valor,mes,ano
2024-10-12,VIN DIESEL,1115,Departamento / Desconto,HUB*NETSHOES,5/10,0.0,0.0,5299.0,10,2024
2024-10-28,VIN DIESEL,1115,Assistência médica e odontológica,OPTICA RUDI,5/10,0.0,0.0,1620.0,10,2024
2024-11-16,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,COTRIJAL,4/10,0.0,0.0,4849.0,11,2024
2024-11-26,VIN DIESEL,1115,Relacionados a Automotivo,RECUPERADORADEPAR,4/4,0.0,0.0,49808.0,11,2024
2025-01-24,VIN DIESEL,1115,Relacionados a Automotivo,EPIC MOTORS MECANICA,2/3,0.0,0.0,63333.0,1,2025
2025-02-15,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,THE BREAKERS OCEANFRON,Única,0.0,0.0,493.0,2,2025
2025-02-15,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,THE BREAKERS OCEANFRON,Única,24.0,6.08,14596.0,2,2025
2025-02-16,VIN DIESEL,1115,Departamento / Desconto,TJMAXX #0020           OR,Única,0.0,0.0,696.0,2,2025
2025-02-16,VIN DIESEL,1115,Departamento / Desconto,TJMAXX #0020           OR,Única,33.87,6.08,20598.0,2,2025
2025-02-16,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,WAL-MART #3617         OR,Única,53.59,6.08,32591.0,2,2025
2025-02-16,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,WAL-MART #3617         OR,Única,0.0,0.0,1102.0,2,2025
2025-02-20,VIN DIESEL,1115,-,Inclusao de Pagamento    ,Única,0.0,0.0,-1811286.0,2,2025
2025-02-20,VIN DIESEL,1115,Transporte,UBER   * PENDING       SA,Única,0.0,0.0,1513.0,2,2025
2025-02-20,VIN DIESEL,1115,Transporte,UBER   * PENDING       SA,Única,74.52,6.01,4477.0,2,2025
2025-02-21,VIN DIESEL,1115,Transporte,UBER   *TRIP,Única,0.0,0.0,496.0,2,2025
2025-02-21,VIN DIESEL,1115,Transporte,UBER   *TRIP,Única,24.48,6.0,14689.0,2,2025
2025-02-21,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,RETAIL,Única,0.0,0.0,109.0,2,2025
2025-02-21,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,RETAIL,Única,0.0,0.0,299.0,2,2025
2025-02-21,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,BORALA PUB,Única,0.0,0.0,1930.0,2,2025
2025-02-22,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTELLA,Única,0.0,0.0,3282.0,2,2025
2025-02-22,VIN DIESEL,1115,Materiais de construção para casa,CONSTRUMOVEIS PORTELLA,Única,0.0,0.0,684.0,2,2025
2025-02-22,VIN DIESEL,1115,Relacionados a Automotivo,POSTO DO ALEMO,Única,0.0,0.0,690.0,2,2025
2025-02-26,VIN DIESEL,1115,Empresa para empresa,AMAZON MUSIC,Única,0.0,0.0,349.0,2,2025
2025-02-28,VIN DIESEL,1115,Departamento / Desconto,BENOIT 787,Única,0.0,0.0,1850.0,2,2025
2025-02-28,VIN DIESEL,1115,Especialidade varejo,ROSINEI CARMEN GIRARDI,Única,0.0,0.0,560.0,2,2025
2025-02-28,VIN DIESEL,1115,Relacionados a Automotivo,REDE MAIS,Única,0.0,0.0,22476.0,2,2025
2025-03-06,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,GARE ESTACAO,Única,0.0,0.0,418.0,3,2025
2025-03-08,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTELLA,Única,0.0,0.0,2772.0,3,2025
2025-03-08,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTELLA,Única,0.0,0.0,1756.0,3,2025
2025-03-10,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,EVINO,Única,0.0,0.0,976.0,3,2025
2025-03-10,VIN DIESEL,1115,Empresa para empresa,SUPER COPIAS,Única,0.0,0.0,720.0,3,2025
2025-03-10,VIN DIESEL,1115,Empresa para empresa,SUPER COPIAS,Única,0.0,0.0,375.0,3,2025
2025-03-10,VIN DIESEL,1115,Associação,MIX CENTER,Única,0.0,0.0,12135.0,3,2025
2025-03-11,VIN DIESEL,1115,-,Anuidade Diferenciada,6/12,0.0,0.0,980.0,3,2025
2025-03-11,VIN DIESEL,1115,-,Estorno Tarifa,Única,0.0,0.0,-980.0,3,2025
2025-03-11,VIN DIESEL,1115,Relacionados a Automotivo,POSTOS TRADICAO,Única,0.0,0.0,24271.0,3,2025
2025-03-12,VIN DIESEL,1115,Empresa para empresa,SUPER COPIAS,Única,0.0,0.0,375.0,3,2025
2024-11-24,VIN DIESEL,1122,T&E Companhia aérea,TAM LINHAS AEREAS SA,4/4,0.0,0.0,76723.0,11,2024
2024-12-19,VIN DIESEL,1122,T&E Companhia aérea,AMERICAN AIR*CAPTURERE,3/6,0.0,0.0,61185.0,12,2024
2025-02-14,VIN DIESEL,1122,Associação,REGISTROBR 43631904,Única,0.0,0.0,400.0,2,2025
2025-02-18,VIN DIESEL,1122,Elétrico,OPENAI                 +1,Única,0.0,0.0,125.0,2,2025
2025-02-18,VIN DIESEL,1122,Elétrico,OPENAI                 +1,Única,6.16,6.01,3702.0,2,2025
2025-02-21,VIN DIESEL,1122,Elétrico,OPENAI *CHATGPT SUBSCR +1,Única,0.0,0.0,406.0,2,2025
2025-02-21,VIN DIESEL,1122,Elétrico,OPENAI *CHATGPT SUBSCR +1,Única,20.0,6.0,12001.0,2,2025
2025-02-22,VIN DIESEL,1122,Departamento / Desconto,HUB*NETSHOES,1/3,0.0,0.0,7066.0,2,2025
2025-02-23,VIN DIESEL,1122,Casa / Escritório Mobiliário,MERCADOLIVRE*CATHYELE,1/3,0.0,0.0,7598.0,2,2025
2025-03-10,VIN DIESEL,1122,Seguro,HDI SEGUROS SA 02/10,Única,0.0,0.0,25948.0,3,2025
2025-03-11,VIN DIESEL,1122,Elétrico,OPENAI                 +1,Única,6.01,6.1,3664.0,3,2025
2025-03-11,VIN DIESEL,1122,Elétrico,OPENAI                 +1,Única,0.0,0.0,124.0,3,2025
2025-03-12,VIN DIESEL,1122,Educacional,KIWIFY      *MAVENAI,Única,0.0,0.0,1250.0,3,2025
2025-01-23,CHARLIZE THERON,1153,Departamento / Desconto,GRAZZIOTIN SA,2/5,0.0,0.0,5099.0,1,2025
2025-01-24,CHARLIZE THERON,1153,Especialidade varejo,LOJA POREXEMPLO,2/3,0.0,0.0,866.0,1,2025
2025-01-27,CHARLIZE THERON,1153,Departamento / Desconto,DELTASSUL 45,2/5,0.0,0.0,358.0,1,2025
2025-02-13,CHARLIZE THERON,1153,Vestuário / Roupas,JACSONMARCELO,1/3,0.0,0.0,497.0,2,2025
2025-02-13,CHARLIZE THERON,1153,Relacionados a Automotivo,REDE MAIS,Única,0.0,0.0,2200.0,2,2025
2025-02-16,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,0.0,0.0,12167.0,2,2025
2025-02-19,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,0.0,0.0,5627.0,2,2025
2025-02-21,CHARLIZE THERON,1153,Associação,STOK CENTER 80,Única,0.0,0.0,5237.0,2,2025
2025-02-24,CHARLIZE THERON,1153,Vestuário / Roupas,LUPO,Única,0.0,0.0,500.0,2,2025
2025-02-28,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,CELEIRO NATURE,Única,0.0,0.0,1871.0,2,2025
2025-02-28,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,0.0,0.0,10381.0,2,2025
2025-03-03,CHARLIZE THERON,1153,Serviços pessoais,NH COMERCIO DE COSMETI,Única,0.0,0.0,5594.0,3,2025
2025-03-04,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,COMERCIAL ZAFFARI 1,Única,0.0,0.0,2997.0,3,2025
2025-03-05,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,0.0,0.0,5177.0,3,2025
2025-03-07,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,0.0,0.0,5929.0,3,2025
2025-03-12,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,0.0,0.0,12906.0,3,2025
2025-02-16,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,IFD*PIMENTA VERDE ALIM,Única,0.0,0.0,6039.0,2,2025
2025-02-19,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,X CAO E CIA,Única,0.0,0.0,50.0,2,2025
2025-02-19,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,X CAO E CIA,Única,0.0,0.0,190.0,2,2025
2025-02-20,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,X CAO E CIA,Única,0.0,0.0,70.0,2,2025
2025-02-20,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BAR DO BRUNO,Única,0.0,0.0,120.0,2,2025
2025-02-21,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BAR DO BRUNO,Única,0.0,0.0,85.0,2,2025
2025-02-24,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,125.0,2,2025
2025-02-24,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,75.0,2,2025
2025-02-24,BRIAN TYLER,1114,Associação,MIX CENTER,Única,0.0,0.0,1398.0,2,2025
2025-02-24,BRIAN TYLER,1114,Materiais de construção para casa,SOS CHAVEIRO,Única,0.0,0.0,180.0,2,2025
2025-02-25,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,105.0,2,2025
2025-02-25,BRIAN TYLER,1114,Associação,MIX CENTER,Única,0.0,0.0,3946.0,2,2025
2025-02-26,BRIAN TYLER,1114,Entretenimento,PPRO   *MICROSOFT,Única,0.0,0.0,5999.0,2,2025
2025-02-26,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,85.0,2,2025
2025-02-26,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,MANAS E AMARANTE,Única,0.0,0.0,100.0,2,2025
2025-02-27,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,100.0,2,2025
2025-02-27,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,ULTRA COFFEE,Única,0.0,0.0,100.0,2,2025
2025-02-27,BRIAN TYLER,1114,Associação,MIX CENTER,Única,0.0,0.0,2327.0,2,2025
2025-02-27,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,ULTRA COFFEE,Única,0.0,0.0,100.0,2,2025
2025-02-28,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,105.0,2,2025
2025-03-03,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,COMERCIAL ZAFFARI 1,Única,0.0,0.0,169.0,3,2025
2025-03-05,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,105.0,3,2025
2025-03-05,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BAR DO BRUNO,Única,0.0,0.0,80.0,3,2025
2025-03-06,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,105.0,3,2025
2025-03-06,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,GARE ESTACAO,Única,0.0,0.0,80.0,3,2025
2025-03-07,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,BRUNO SOUZA DE MACEDO,Única,0.0,0.0,105.0,3,2025
2025-03-07,BRIAN TYLER,1114,Elétrico,OPENAI                 +1,Única,0.0,0.0,102.0,3,2025
2025-03-07,BRIAN TYLER,1114,Elétrico,OPENAI                 +1,Única,5.0,6.05,3025.0,3,2025
